Week;Date;Treat;Flume;Hidden;Active;Total
1;30/5/2022;ALAN;1;4;1;5
1;30/5/2022;NoALAN;2;2;2;4
1;30/5/2022;NoALAN;5;4;0;4
1;30/5/2022;ALAN;8;5;5;10
1;30/5/2022;ALAN;11;8;1;9
1;30/5/2022;NoALAN;12;5;1;6
1;30/5/2022;ALAN;14;11;2;13
1;30/5/2022;NoALAN;15;3;5;8
2;6/6/2022;ALAN;1;6;3;9
2;6/6/2022;NoALAN;2;5;2;7
2;6/6/2022;NoALAN;5;4;6;10
2;6/6/2022;ALAN;8;8;0;8
2;6/6/2022;ALAN;11;4;4;8
2;6/6/2022;NoALAN;12;5;0;5
2;6/6/2022;ALAN;14;8;2;10
2;6/6/2022;NoALAN;15;3;6;9
3;13/6/2022;ALAN;1;6;2;8
3;13/6/2022;NoALAN;2;4;3;7
3;13/6/2022;NoALAN;5;3;3;6
3;13/6/2022;ALAN;8;5;2;7
3;13/6/2022;ALAN;11;6;1;7
3;13/6/2022;NoALAN;12;6;4;10
3;13/6/2022;ALAN;14;7;1;8
3;13/6/2022;NoALAN;15;9;5;14
4;20/6/2022;ALAN;1;6;3;9
4;20/6/2022;NoALAN;2;7;0;7
4;20/6/2022;NoALAN;5;5;2;7
4;20/6/2022;ALAN;8;7;0;7
4;20/6/2022;ALAN;11;4;1;5
4;20/6/2022;NoALAN;12;7;1;8
4;20/6/2022;ALAN;14;6;1;7
4;20/6/2022;NoALAN;15;13;0;13
5;27/6/2022;ALAN;1;4;3;7
5;27/6/2022;NoALAN;2;4;2;6
5;27/6/2022;NoALAN;5;2;3;5
5;27/6/2022;ALAN;8;3;1;4
5;27/6/2022;ALAN;11;6;2;8
5;27/6/2022;NoALAN;12;3;3;6
5;27/6/2022;ALAN;14;6;0;6
5;27/6/2022;NoALAN;15;3;3;6
6;4/7/2022;ALAN;1;6;0;6
6;4/7/2022;NoALAN;2;5;1;6
6;4/7/2022;NoALAN;5;5;0;5
6;4/7/2022;ALAN;8;3;2;5
6;4/7/2022;ALAN;11;3;1;4
6;4/7/2022;NoALAN;12;2;1;3
6;4/7/2022;ALAN;14;4;2;6
6;4/7/2022;NoALAN;15;3;1;4
